nboletahogar,nlinea,parentesco,sexo,edad,embarazada_lactante,sabe_leer,asistido_escuela_vez,estudiando_actual,grado_estudio,grado_estudio_an,ocupacion
GHCUES0012,8,5-Nieto,1-Hombre,2,,,,,,,
GHCUES0012,9,3-Hijo,1-Hombre,26,,01-Si,01-Si,02-No,2-Secundaria,3,02-Agricultor dedicado a granos básicos
GHCUES0012,10,3-Hijo,2-Mujer,29,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0013,1,1-Jefe del hogar,1-Hombre,48,,02-No,02-No,,,,02-Agricultor dedicado a granos básicos
GHCUES0013,2,2-Esposa/esposo,2-Mujer,49,3-No embarazada ni lactante,02-No,02-No,,,,06 - Ama de casa
GHCUES0013,3,3-Hijo,2-Mujer,20,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,4,05- Jornalero agrícola
GHCUES0013,4,3-Hijo,1-Hombre,17,,01-Si,01-Si,02-No,2-Secundaria,3,05- Jornalero agrícola
GHCUES0013,5,3-Hijo,1-Hombre,15,,01-Si,01-Si,01-Si,2-Secundaria,1,07 - Escolar / estudiante
GHCUES0013,6,3-Hijo,2-Mujer,7,4-No aplica,02-No,02-No,,,,
GHCUES0014,1,1-Jefe del hogar,1-Hombre,34,,01-Si,01-Si,02-No,2-Secundaria,3,15- Comerciante fijo en la comunidad
GHCUES0014,2,2-Esposa/esposo,2-Mujer,31,3-No embarazada ni lactante,02-No,02-No,,,,15- Comerciante fijo en la comunidad
GHCUES0014,3,3-Hijo,2-Mujer,11,3-No embarazada ni lactante,01-Si,01-Si,01-Si,1-Primaria,4,
GHCUES0014,4,3-Hijo,2-Mujer,4,4-No aplica,,,,,,
GHCUES0015,1,1-Jefe del hogar,1-Hombre,46,,01-Si,01-Si,02-No,1-Primaria,4,05- Jornalero agrícola
GHCUES0015,2,2-Esposa/esposo,2-Mujer,45,2-Lactante,02-No,01-Si,02-No,1-Primaria,1,06 - Ama de casa
GHCUES0015,3,3-Hijo,2-Mujer,26,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,3,06 - Ama de casa
GHCUES0015,4,3-Hijo,2-Mujer,24,3-No embarazada ni lactante,02-No,02-No,,,,06 - Ama de casa
GHCUES0015,5,3-Hijo,2-Mujer,19,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,3,06 - Ama de casa
GHCUES0015,6,3-Hijo,1-Hombre,16,,01-Si,01-Si,02-No,1-Primaria,2,05- Jornalero agrícola
GHCUES0015,7,3-Hijo,1-Hombre,14,,01-Si,01-Si,02-No,1-Primaria,3,
GHCUES0015,8,3-Hijo,2-Mujer,10,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,3,
GHCUES0015,9,3-Hijo,1-Hombre,2,,,,,,,
GHCUES0016,1,1-Jefe del hogar,1-Hombre,51,,02-No,02-No,,,,02-Agricultor dedicado a granos básicos
GHCUES0016,2,2-Esposa/esposo,2-Mujer,50,4-No aplica,01-Si,01-Si,02-No,1-Primaria,3,01-Agricultor sin tierra y/o en tierra familiar
GHCUES0016,3,3-Hijo,2-Mujer,24,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,4,18- Obrero especializado de fábrica
GHCUES0016,4,3-Hijo,1-Hombre,17,,02-No,01-Si,02-No,1-Primaria,1,18- Obrero especializado de fábrica
GHCUES0017,1,1-Jefe del hogar,1-Hombre,29,,01-Si,01-Si,02-No,2-Secundaria,5,14- Comerciante ambulante
GHCUES0017,2,2-Esposa/esposo,2-Mujer,27,2-Lactante,01-Si,01-Si,02-No,2-Secundaria,5,06 - Ama de casa
GHCUES0017,3,3-Hijo,2-Mujer,6,4-No aplica,02-No,01-Si,01-Si,0-Ninguno,0,
GHCUES0017,4,3-Hijo,2-Mujer,0,4-No aplica,,,,,,
GHCUES0018,1,1-Jefe del hogar,1-Hombre,39,,01-Si,01-Si,02-No,2-Secundaria,5,18- Obrero especializado de fábrica
GHCUES0018,2,2-Esposa/esposo,2-Mujer,33,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,6,06 - Ama de casa
GHCUES0018,3,3-Hijo,2-Mujer,14,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,1,
GHCUES0018,4,3-Hijo,2-Mujer,12,3-No embarazada ni lactante,01-Si,01-Si,01-Si,1-Primaria,5,
GHCUES0018,5,3-Hijo,1-Hombre,10,,01-Si,01-Si,01-Si,1-Primaria,3,
GHCUES0019,1,1-Jefe del hogar,1-Hombre,79,,01-Si,02-No,,,,24- Jubilado
GHCUES0019,2,2-Esposa/esposo,2-Mujer,77,4-No aplica,02-No,01-Si,02-No,0-Ninguno,0,06 - Ama de casa
GHCUES0020,1,1-Jefe del hogar,2-Mujer,37,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,3,15- Comerciante fijo en la comunidad
GHCUES0020,2,2-Esposa/esposo,1-Hombre,46,,01-Si,01-Si,02-No,1-Primaria,6,"04- Agricultor dedicado a hortalizas, frutas y granos básicos"
GHCUES0020,3,3-Hijo,2-Mujer,17,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,6,15- Comerciante fijo en la comunidad
GHCUES0020,4,3-Hijo,1-Hombre,15,,01-Si,01-Si,01-Si,1-Primaria,5,07 - Escolar / estudiante
GHCUES0020,5,3-Hijo,2-Mujer,13,3-No embarazada ni lactante,01-Si,01-Si,01-Si,1-Primaria,5,
GHCUES0020,6,3-Hijo,1-Hombre,23,,01-Si,01-Si,02-No,2-Secundaria,3,18- Obrero especializado de fábrica
GHCUES0020,7,4-Yerno/nuera,2-Mujer,20,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,3,06 - Ama de casa
GHCUES0021,1,1-Jefe del hogar,1-Hombre,69,,01-Si,01-Si,02-No,1-Primaria,2,00-Ninguna
GHCUES0021,2,2-Esposa/esposo,2-Mujer,68,4-No aplica,01-Si,01-Si,02-No,1-Primaria,2,15- Comerciante fijo en la comunidad
GHCUES0021,3,3-Hijo,2-Mujer,51,4-No aplica,01-Si,01-Si,02-No,1-Primaria,6,15- Comerciante fijo en la comunidad
GHCUES0021,4,3-Hijo,1-Hombre,45,,01-Si,01-Si,02-No,2-Secundaria,3,14- Comerciante ambulante
GHCUES0021,5,3-Hijo,1-Hombre,42,,01-Si,01-Si,02-No,2-Secundaria,5,14- Comerciante ambulante
GHCUES0022,1,1-Jefe del hogar,1-Hombre,39,,01-Si,01-Si,02-No,1-Primaria,6,03-Agricultor dedicado a hortalizas
GHCUES0022,2,2-Esposa/esposo,2-Mujer,40,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,6,06 - Ama de casa
GHCUES0022,3,3-Hijo,2-Mujer,20,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,6,06 - Ama de casa
GHCUES0022,4,3-Hijo,1-Hombre,15,,01-Si,01-Si,01-Si,1-Primaria,6,07 - Escolar / estudiante
GHCUES0022,5,3-Hijo,2-Mujer,4,4-No aplica,,,,,,
GHCUES0023,1,1-Jefe del hogar,2-Mujer,50,4-No aplica,02-No,02-No,,,,09- Trabajador en oficios domésticos
GHCUES0024,1,1-Jefe del hogar,1-Hombre,30,,01-Si,01-Si,02-No,2-Secundaria,1,18- Obrero especializado de fábrica
GHCUES0024,2,2-Esposa/esposo,2-Mujer,30,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,1,15- Comerciante fijo en la comunidad
GHCUES0024,3,3-Hijo,2-Mujer,5,4-No aplica,,,,,,
GHCUES0024,4,3-Hijo,1-Hombre,3,,,,,,,
GHCUES0025,1,1-Jefe del hogar,1-Hombre,57,,01-Si,01-Si,02-No,1-Primaria,2,02-Agricultor dedicado a granos básicos
GHCUES0025,2,2-Esposa/esposo,2-Mujer,52,4-No aplica,01-Si,01-Si,02-No,1-Primaria,4,10- Trabajador en manufacturas caseras
GHCUES0025,3,3-Hijo,1-Hombre,22,,01-Si,01-Si,02-No,2-Secundaria,3,09- Trabajador en oficios domésticos
GHCUES0025,4,3-Hijo,2-Mujer,17,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,1,10- Trabajador en manufacturas caseras
GHCUES0025,5,3-Hijo,2-Mujer,25,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,2,09- Trabajador en oficios domésticos
GHCUES0025,6,5-Nieto,2-Mujer,6,4-No aplica,02-No,01-Si,01-Si,0-Ninguno,0,
GHCUES0026,1,1-Jefe del hogar,1-Hombre,43,,01-Si,02-No,,,,18- Obrero especializado de fábrica
GHCUES0026,2,2-Esposa/esposo,2-Mujer,42,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,2,14- Comerciante ambulante
GHCUES0026,3,3-Hijo,2-Mujer,15,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,6,06 - Ama de casa
GHCUES0026,4,3-Hijo,1-Hombre,22,,01-Si,01-Si,02-No,1-Primaria,5,18- Obrero especializado de fábrica
GHCUES0026,5,4-Yerno/nuera,2-Mujer,23,2-Lactante,01-Si,01-Si,02-No,2-Secundaria,3,06 - Ama de casa
GHCUES0026,6,5-Nieto,2-Mujer,0,4-No aplica,,,,,,
GHCUES0027,1,1-Jefe del hogar,2-Mujer,40,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,2,09- Trabajador en oficios domésticos
GHCUES0027,2,3-Hijo,2-Mujer,19,1-Embarazada,01-Si,01-Si,02-No,1-Primaria,6,06 - Ama de casa
GHCUES0027,3,3-Hijo,1-Hombre,14,,01-Si,01-Si,02-No,1-Primaria,2,
GHCUES0028,1,1-Jefe del hogar,1-Hombre,39,,01-Si,01-Si,02-No,1-Primaria,5,05- Jornalero agrícola
GHCUES0028,2,2-Esposa/esposo,2-Mujer,37,3-No embarazada ni lactante,02-No,02-No,,,,12- Comerciante de la producción agrícola familiar y otra
GHCUES0028,3,3-Hijo,2-Mujer,16,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,6,09- Trabajador en oficios domésticos
GHCUES0028,4,3-Hijo,2-Mujer,13,3-No embarazada ni lactante,01-Si,01-Si,01-Si,1-Primaria,5,
GHCUES0028,5,3-Hijo,2-Mujer,10,3-No embarazada ni lactante,01-Si,01-Si,01-Si,1-Primaria,1,
GHCUES0028,6,3-Hijo,2-Mujer,9,4-No aplica,01-Si,01-Si,01-Si,1-Primaria,1,
GHCUES0029,1,1-Jefe del hogar,1-Hombre,75,,02-No,02-No,,,,02-Agricultor dedicado a granos básicos
GHCUES0029,2,2-Esposa/esposo,2-Mujer,49,3-No embarazada ni lactante,02-No,02-No,,,,09- Trabajador en oficios domésticos
GHCUES0029,3,3-Hijo,2-Mujer,19,2-Lactante,01-Si,01-Si,02-No,1-Primaria,4,06 - Ama de casa
GHCUES0029,4,5-Nieto,2-Mujer,0,4-No aplica,,,,,,
GHCUES0030,1,1-Jefe del hogar,1-Hombre,45,,01-Si,01-Si,02-No,2-Secundaria,3,19- Obrero especializado independiente
GHCUES0030,2,2-Esposa/esposo,2-Mujer,46,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,2,06 - Ama de casa
GHCUES0030,3,3-Hijo,1-Hombre,18,,01-Si,01-Si,01-Si,2-Secundaria,2,07 - Escolar / estudiante
GHCUES0030,4,3-Hijo,1-Hombre,16,,01-Si,01-Si,01-Si,2-Secundaria,3,07 - Escolar / estudiante
GHCUES0031,1,1-Jefe del hogar,2-Mujer,49,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,5,15- Comerciante fijo en la comunidad
GHCUES0031,2,6-Padre/madre,2-Mujer,88,4-No aplica,01-Si,01-Si,02-No,1-Primaria,6,24- Jubilado
GHCUES0031,3,8-Hermano/a,1-Hombre,55,,01-Si,01-Si,02-No,2-Secundaria,3,"17- Obrero no-especializado de fábrica o granja, despachador, vigilante, mensajero, chofer"
GHCUES0033,1,1-Jefe del hogar,1-Hombre,54,,01-Si,01-Si,02-No,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0033,2,2-Esposa/esposo,2-Mujer,51,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,6,06 - Ama de casa
GHCUES0033,3,3-Hijo,1-Hombre,28,,01-Si,01-Si,01-Si,3-Superior/universitaria,5,07 - Escolar / estudiante
GHCUES0033,4,3-Hijo,1-Hombre,22,,01-Si,01-Si,01-Si,3-Superior/universitaria,3,07 - Escolar / estudiante
GHCUES0033,5,3-Hijo,1-Hombre,14,,01-Si,01-Si,01-Si,2-Secundaria,1,
GHCUES0033,6,9-Otro familiar,2-Mujer,29,3-No embarazada ni lactante,01-Si,01-Si,01-Si,1-Primaria,6,23- Enfermo
GHCUES0035,1,1-Jefe del hogar,1-Hombre,30,,01-Si,01-Si,02-No,2-Secundaria,5,18- Obrero especializado de fábrica
GHCUES0035,2,2-Esposa/esposo,2-Mujer,33,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,3,09- Trabajador en oficios domésticos
GHCUES0035,3,3-Hijo,1-Hombre,7,,01-Si,01-Si,01-Si,0-Ninguno,0,
GHCUES0035,4,3-Hijo,1-Hombre,3,,,,,,,
GHCUES0036,1,1-Jefe del hogar,2-Mujer,75,4-No aplica,01-Si,01-Si,02-No,1-Primaria,3,14- Comerciante ambulante
GHCUES0037,1,1-Jefe del hogar,1-Hombre,32,,01-Si,01-Si,01-Si,2-Secundaria,5,20- Empleado de fuerzas de seguridad
GHCUES0037,2,3-Hijo,1-Hombre,20,,01-Si,01-Si,01-Si,2-Secundaria,4,20- Empleado de fuerzas de seguridad
GHCUES0038,1,1-Jefe del hogar,1-Hombre,72,,01-Si,01-Si,02-No,1-Primaria,2,09- Trabajador en oficios domésticos
GHCUES0038,2,2-Esposa/esposo,2-Mujer,67,4-No aplica,02-No,01-Si,02-No,0-Ninguno,0,06 - Ama de casa
GHCUES0038,3,10-Hijo adoptado de crianza,1-Hombre,23,,01-Si,01-Si,01-Si,2-Secundaria,5,07 - Escolar / estudiante
GHCUES0038,4,10-Hijo adoptado de crianza,1-Hombre,13,,01-Si,01-Si,01-Si,1-Primaria,4,
GHCUES0039,1,1-Jefe del hogar,2-Mujer,24,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,1,13- Comerciante de la producción manufacturera casera familiar
GHCUES0039,2,2-Esposa/esposo,1-Hombre,29,,01-Si,01-Si,01-Si,2-Secundaria,5,"17- Obrero no-especializado de fábrica o granja, despachador, vigilante, mensajero, chofer"
GHCUES0039,3,3-Hijo,2-Mujer,4,4-No aplica,,,,,,
GHCUES0039,4,3-Hijo,2-Mujer,2,4-No aplica,,,,,,
GHCUES0039,5,6-Padre/madre,1-Hombre,50,,01-Si,01-Si,02-No,1-Primaria,6,19- Obrero especializado independiente
GHCUES0039,6,8-Hermano/a,2-Mujer,29,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,6,09- Trabajador en oficios domésticos
GHCUES0039,7,8-Hermano/a,2-Mujer,21,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,5,09- Trabajador en oficios domésticos
GHCUES0039,8,8-Hermano/a,2-Mujer,19,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,5,09- Trabajador en oficios domésticos
GHCUES0039,9,8-Hermano/a,1-Hombre,18,,01-Si,01-Si,01-Si,2-Secundaria,2,"17- Obrero no-especializado de fábrica o granja, despachador, vigilante, mensajero, chofer"
GHCUES0039,10,8-Hermano/a,2-Mujer,16,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,3,09- Trabajador en oficios domésticos
GHCUES0039,11,8-Hermano/a,2-Mujer,14,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,1,
GHCUES0039,12,8-Hermano/a,2-Mujer,13,3-No embarazada ni lactante,01-Si,01-Si,01-Si,1-Primaria,6,
GHCUES0040,1,1-Jefe del hogar,1-Hombre,27,,01-Si,01-Si,02-No,1-Primaria,6,18- Obrero especializado de fábrica
GHCUES0040,2,2-Esposa/esposo,2-Mujer,23,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,6,08 - Jornalero no agrícola
GHCUES0040,3,3-Hijo,2-Mujer,2,4-No aplica,,,,,,
GHCUES0040,4,9-Otro familiar,1-Hombre,68,,01-Si,01-Si,02-No,9-No sabe,8,08 - Jornalero no agrícola
GHCUES0044,1,1-Jefe del hogar,1-Hombre,25,,01-Si,01-Si,02-No,1-Primaria,1,15- Comerciante fijo en la comunidad
GHCUES0044,2,2-Esposa/esposo,2-Mujer,27,2-Lactante,01-Si,01-Si,02-No,1-Primaria,6,06 - Ama de casa
GHCUES0044,3,3-Hijo,1-Hombre,12,,01-Si,01-Si,01-Si,1-Primaria,5,
GHCUES0044,4,3-Hijo,2-Mujer,1,4-No aplica,,,,,,
GHCUES0045,1,1-Jefe del hogar,1-Hombre,63,,01-Si,01-Si,02-No,3-Superior/universitaria,5,15- Comerciante fijo en la comunidad
GHCUES0045,2,2-Esposa/esposo,2-Mujer,61,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,5,06 - Ama de casa
GHCUES0045,3,3-Hijo,1-Hombre,31,,01-Si,01-Si,01-Si,3-Superior/universitaria,3,07 - Escolar / estudiante
GHCUES0045,4,3-Hijo,2-Mujer,27,3-No embarazada ni lactante,01-Si,01-Si,01-Si,3-Superior/universitaria,4,07 - Escolar / estudiante
GHCUES0046,1,1-Jefe del hogar,1-Hombre,38,,01-Si,01-Si,02-No,1-Primaria,6,14- Comerciante ambulante
GHCUES0046,2,2-Esposa/esposo,2-Mujer,42,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,6,15- Comerciante fijo en la comunidad
GHCUES0046,3,10-Hijo adoptado de crianza,2-Mujer,21,2-Lactante,01-Si,01-Si,02-No,1-Primaria,6,06 - Ama de casa
GHCUES0046,4,4-Yerno/nuera,1-Hombre,23,,01-Si,01-Si,02-No,1-Primaria,6,18- Obrero especializado de fábrica
GHCUES0046,5,5-Nieto,2-Mujer,4,4-No aplica,,,,,,
GHCUES0046,6,5-Nieto,1-Hombre,0,,,,,,,
GHCUES0051,1,1-Jefe del hogar,1-Hombre,28,,01-Si,01-Si,02-No,2-Secundaria,1,08 - Jornalero no agrícola
GHCUES0051,2,2-Esposa/esposo,2-Mujer,37,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,6,15- Comerciante fijo en la comunidad
GHCUES0051,3,3-Hijo,1-Hombre,5,,,,,,,
GHCUES0052,1,1-Jefe del hogar,1-Hombre,58,,01-Si,01-Si,02-No,2-Secundaria,1,19- Obrero especializado independiente
GHCUES0054,1,1-Jefe del hogar,1-Hombre,37,,01-Si,01-Si,02-No,2-Secundaria,5,21- Empleado especializado público o privado
GHCUES0054,2,2-Esposa/esposo,2-Mujer,30,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,6,06 - Ama de casa
GHCUES0054,3,3-Hijo,1-Hombre,10,,01-Si,01-Si,01-Si,1-Primaria,3,
GHCUES0054,4,3-Hijo,2-Mujer,3,4-No aplica,,,,,,
GHCUES0057,1,1-Jefe del hogar,2-Mujer,70,4-No aplica,02-No,02-No,,,,06 - Ama de casa
GHCUES0057,2,5-Nieto,1-Hombre,20,,01-Si,01-Si,02-No,2-Secundaria,5,07 - Escolar / estudiante
GHCUES0057,3,5-Nieto,2-Mujer,14,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,2,
GHCUES0059,1,1-Jefe del hogar,2-Mujer,28,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,3,09- Trabajador en oficios domésticos
GHCUES0059,2,8-Hermano/a,1-Hombre,23,,01-Si,01-Si,02-No,2-Secundaria,4,14- Comerciante ambulante
GHCUES0059,3,3-Hijo,1-Hombre,2,,,,,,,
GHCUES0059,4,3-Hijo,1-Hombre,1,,,,,,,
GHCUES0060,1,1-Jefe del hogar,2-Mujer,47,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,1,13- Comerciante de la producción manufacturera casera familiar
GHCUES0060,2,2-Esposa/esposo,1-Hombre,29,,01-Si,01-Si,02-No,1-Primaria,6,20- Empleado de fuerzas de seguridad
GHCUES0061,1,1-Jefe del hogar,2-Mujer,72,4-No aplica,01-Si,01-Si,02-No,1-Primaria,6,08 - Jornalero no agrícola
GHCUES0061,2,3-Hijo,1-Hombre,46,,01-Si,01-Si,02-No,3-Superior/universitaria,1,19- Obrero especializado independiente
GHCUES0063,1,1-Jefe del hogar,1-Hombre,31,,01-Si,01-Si,02-No,2-Secundaria,6,18- Obrero especializado de fábrica
GHCUES0063,2,2-Esposa/esposo,2-Mujer,27,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,5,21- Empleado especializado público o privado
GHCUES0063,3,3-Hijo,2-Mujer,3,4-No aplica,,,,,,
GHCUES0064,1,1-Jefe del hogar,2-Mujer,51,4-No aplica,02-No,02-No,,,,09- Trabajador en oficios domésticos
GHCUES0064,2,3-Hijo,1-Hombre,19,,02-No,01-Si,01-Si,1-Primaria,4,08 - Jornalero no agrícola
